Year,Week,From,To,H1,H3,B,AandB,H1_proportion,H3_proportion,B_proportion,AandB_proportion
2014,1,29/12/2013,04/01/2014,93,111,64,268,0.043,0.0513,0.0296,0.1238
2014,2,05/01/2014,11/01/2014,230,140,109,479,0.0954,0.058,0.0452,0.1986
2014,3,12/01/2014,18/01/2014,249,144,104,497,0.1079,0.0624,0.0451,0.2154
2014,4,19/01/2014,25/01/2014,305,169,127,601,0.1178,0.0653,0.0491,0.2321
2014,5,26/01/2014,01/02/2014,321,171,179,671,0.12,0.0639,0.0669,0.2507
2014,6,02/02/2014,08/02/2014,394,177,202,773,0.1295,0.0582,0.0664,0.2541
2014,7,09/02/2014,15/02/2014,405,168,181,754,0.1565,0.0649,0.0699,0.2913
2014,8,16/02/2014,22/02/2014,431,206,267,904,0.1497,0.0716,0.0927,0.314
2014,9,23/02/2014,01/03/2014,411,178,291,880,0.1426,0.0618,0.101,0.3053
2014,10,02/03/2014,08/03/2014,229,131,291,651,0.091,0.0521,0.1157,0.2587
2014,11,09/03/2014,15/03/2014,122,78,288,488,0.0501,0.0321,0.1184,0.2006
2014,12,16/03/2014,22/03/2014,110,60,299,469,0.0431,0.0235,0.1171,0.1837
2014,13,23/03/2014,29/03/2014,61,53,297,411,0.0241,0.0209,0.1173,0.1623
2014,14,30/03/2014,05/04/2014,46,40,189,275,0.021,0.0183,0.0865,0.1258
2014,15,06/04/2014,12/04/2014,38,53,196,287,0.0149,0.0208,0.0768,0.1125
2014,16,13/04/2014,19/04/2014,26,21,161,208,0.0113,0.0091,0.0697,0.0901
2014,17,20/04/2014,26/04/2014,7,19,149,175,0.003,0.0083,0.0649,0.0762
2014,18,27/04/2014,03/05/2014,6,25,117,148,0.0027,0.0114,0.0534,0.0675
2014,19,04/05/2014,10/05/2014,2,29,63,94,0.001,0.015,0.0326,0.0486
2014,20,11/05/2014,17/05/2014,14,11,58,83,0.0073,0.0057,0.0302,0.0433
2014,21,18/05/2014,24/05/2014,6,38,61,105,0.003,0.0193,0.0309,0.0532
2014,22,25/05/2014,31/05/2014,6,80,54,140,0.0029,0.0388,0.0262,0.0679
2014,23,01/06/2014,07/06/2014,12,118,80,210,0.0056,0.0553,0.0375,0.0985
2014,24,08/06/2014,14/06/2014,12,191,64,267,0.0055,0.0875,0.0293,0.1223
2014,25,15/06/2014,21/06/2014,5,162,60,227,0.0024,0.0791,0.0293,0.1108
2014,26,22/06/2014,28/06/2014,2,143,34,179,0.0011,0.0784,0.0186,0.0981
2014,27,29/06/2014,05/07/2014,3,171,14,188,0.0016,0.0916,0.0075,0.1007
2014,28,06/07/2014,12/07/2014,2,169,17,188,0.001,0.0869,0.0087,0.0967
2014,29,13/07/2014,19/07/2014,3,138,33,174,0.0016,0.0717,0.0172,0.0904
2014,30,20/07/2014,26/07/2014,0,103,18,121,0,0.0596,0.0104,0.07
2014,31,27/07/2014,02/08/2014,1,96,29,126,0.0006,0.0562,0.017,0.0737
2014,32,03/08/2014,09/08/2014,1,76,12,89,0.0006,0.046,0.0073,0.0538
2014,33,10/08/2014,16/08/2014,4,43,11,58,0.0026,0.0278,0.0071,0.0374
2014,34,17/08/2014,23/08/2014,2,37,11,50,0.0014,0.025,0.0074,0.0338
2014,35,24/08/2014,30/08/2014,2,49,9,60,0.0012,0.0299,0.0055,0.0366
2014,36,31/08/2014,06/09/2014,1,33,8,42,0.0005,0.0179,0.0043,0.0228
2014,37,07/09/2014,13/09/2014,1,23,19,43,0.0005,0.0124,0.0103,0.0233
2014,38,14/09/2014,20/09/2014,1,22,15,38,0.0005,0.0113,0.0077,0.0195
2014,39,21/09/2014,27/09/2014,3,9,14,26,0.0015,0.0045,0.0071,0.0131
2014,40,28/09/2014,04/10/2014,8,16,12,36,0.0042,0.0084,0.0063,0.0188
2014,41,05/10/2014,11/10/2014,2,6,5,13,0.0011,0.0032,0.0027,0.007
