YEAR,POLLUTANT,SHATIN,TSUEN WAN,CENTRAL,EASTERN,KWUN TONG,TUEN MUN,TUNG CHUNG,SHAM SHUI PO,SOUTHERN,YUEN LONG,CENTRAL/WESTERN,NORTH,KWAI CHUNG,TAP MUN,TSEUNG KWAN O,TAI PO,MONG KOK,CAUSEWAY BAY
2014,CO,N.A.,72,82,N.A.,N.A.,N.A.,55,N.A.,N.A.,68,N.A.,N.A.,N.A.,59,N.A.,N.A.,95,77
2014,FSP,25,28,28,N.A.,31,N.A.,24,33,N.A.,35,28,N.A.,28,27,N.A.,27,31,38
2014,NO2,44,57,104,52,54,N.A.,45,65,N.A.,52,46,N.A.,67,10,N.A.,45,100,103
2014,NOX,66,99,251,N.A.,103,N.A.,66,112,N.A.,85,68,N.A.,138,15,N.A.,N.A.,257,242
2014,O3,51,39,24,43,46,N.A.,46,35,N.A.,41,43,N.A.,36,72,N.A.,52,18,22
2014,RSP,39,42,46,37,51,N.A.,39,44,N.A.,50,44,N.A.,41,44,N.A.,41,48,57
2014,SO2,9,15,9,6,11,N.A.,13,14,N.A.,11,9,N.A.,21,9,N.A.,4,10,7
2015,CO,N.A.,81,67,N.A.,N.A.,70,58,N.A.,N.A.,61,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,84,74
2015,FSP,24,24,24,23,27,30,22,25,N.A.,30,26,N.A.,25,N.A.,N.A.,23,30,37
2015,NO2,41,59,93,47,55,48,40,63,N.A.,45,43,N.A.,64,N.A.,N.A.,37,97,106
2015,NOX,59,100,208,N.A.,101,79,57,99,N.A.,74,60,N.A.,122,N.A.,N.A.,55,221,252
2015,O3,48,35,22,46,46,38,45,36,N.A.,37,45,N.A.,38,N.A.,N.A.,49,17,18
2015,RSP,34,36,37,35,44,45,36,38,N.A.,44,39,N.A.,37,N.A.,N.A.,36,44,55
2015,SO2,8,14,9,5,8,10,8,11,N.A.,8,10,N.A.,17,N.A.,N.A.,6,7,9
2016,CO,N.A.,82,81,N.A.,N.A.,72,73,N.A.,N.A.,73,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,91,83
2016,FSP,20,21,20,20,23,27,21,23,N.A.,23,22,N.A.,22,N.A.,N.A.,20,26,32
2016,NO2,38,56,78,46,54,51,36,58,N.A.,46,43,N.A.,59,N.A.,N.A.,33,78,89
2016,NOX,57,100,186,N.A.,98,82,58,93,N.A.,74,63,N.A.,116,N.A.,N.A.,51,168,243
2016,O3,42,33,22,49,41,34,40,32,N.A.,35,43,N.A.,33,N.A.,N.A.,43,18,16
2016,RSP,29,31,31,30,37,44,33,35,N.A.,37,32,N.A.,33,N.A.,N.A.,29,37,45
2016,SO2,7,11,8,5,8,10,10,9,N.A.,10,9,N.A.,12,N.A.,N.A.,5,5,8
2017,CO,N.A.,67,69,N.A.,N.A.,76,59,N.A.,N.A.,54,N.A.,N.A.,N.A.,61,82,N.A.,82,73
2017,FSP,21,22,21,20,23,27,21,21,N.A.,22,23,N.A.,23,20,18,22,27,31
2017,NO2,34,52,80,42,44,46,36,54,N.A.,41,40,N.A.,57,10,28,39,81,97
2017,NOX,50,77,176,N.A.,76,70,51,81,N.A.,61,55,N.A.,102,12,42,54,164,286
2017,O3,53,42,27,61,48,43,48,39,N.A.,45,53,N.A.,39,74,65,54,24,18
2017,RSP,31,33,33,33,39,43,34,33,N.A.,40,35,N.A.,35,35,31,32,38,46
2017,SO2,7,11,8,4,6,8,9,8,N.A.,9,8,N.A.,9,8,8,4,4,9
2018,CO,N.A.,63,83,N.A.,N.A.,78,53,N.A.,N.A.,59,N.A.,N.A.,N.A.,46,64,N.A.,82,87
2018,FSP,19,20,21,19,22,26,18,21,N.A.,20,21,N.A.,20,17,15,19,24,30
2018,NO2,35,45,80,39,43,47,33,49,N.A.,43,39,N.A.,55,11,28,36,79,87
2018,NOX,46,65,186,N.A.,71,68,47,71,N.A.,63,56,N.A.,95,13,43,53,163,257
2018,O3,57,45,25,60,51,46,48,44,N.A.,43,53,N.A.,41,72,65,51,27,21
2018,RSP,32,30,34,33,38,42,31,33,N.A.,37,34,N.A.,32,31,28,31,36,46
2018,SO2,6,8,8,4,5,9,9,6,N.A.,8,7,N.A.,8,7,5,2,6,8
2019,CO,N.A.,65,85,N.A.,N.A.,69,56,N.A.,N.A.,63,N.A.,N.A.,N.A.,50,54,N.A.,81,80
2019,FSP,17,20,24,18,21,24,19,18,N.A.,20,20,N.A.,18,17,17,20,24,27
2019,NO2,32,46,80,38,45,47,33,48,N.A.,44,37,N.A.,54,10,29,36,78,81
